,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition,Commune,Sous_Commune,Commune_Principale,Province,Region
3196,1300,HOUSE,HOUSE,360000.0,5,175.0,1,0,0,1,,1,100.0,212.0,2.0,0,GOOD,Wavre,Non,WAVRE,BRABANT WALLON,WALLONIE
3197,1300,HOUSE,VILLA,950000.0,4,260.0,1,0,1,1,,1,,3355.0,4.0,1,GOOD,Wavre,Non,WAVRE,BRABANT WALLON,WALLONIE
3198,8791,APARTMENT,APARTMENT,265700.0,2,97.0,0,0,0,1,,0,,,,0,,Beveren,Oui,WAREGEM,FLANDRE-OCCIDENTALE,VLAANDEREN
3199,1050,HOUSE,HOUSE,795000.0,5,240.0,1,0,0,0,,0,,100.0,2.0,0,,Ixelles,Non,IXELLES,BRUXELLES,BRUXELLES
3200,8740,APARTMENT,APARTMENT,205000.0,2,90.0,1,0,0,1,15.0,1,,,,0,GOOD,Pittem,Non,PITTEM,FLANDRE-OCCIDENTALE,VLAANDEREN
3201,8660,APARTMENT,PENTHOUSE,1195000.0,2,121.0,1,0,0,1,180.0,0,,,2.0,0,AS_NEW,De Panne,Non,DE PANNE,FLANDRE-OCCIDENTALE,VLAANDEREN
3202,3620,APARTMENT,APARTMENT,225000.0,2,100.0,0,0,0,1,,1,,,,0,,Lanaken,Non,LANAKEN,LIMBOURG,VLAANDEREN
3203,1755,HOUSE,HOUSE,329000.0,3,140.0,0,0,0,0,,0,,1375.0,,0,TO_RENOVATE,Gooik,Non,GOOIK,BRABANT FLAMAND,VLAANDEREN
3204,5555,HOUSE,HOUSE,299000.0,4,193.0,1,0,0,1,40.0,1,2000.0,2448.0,4.0,0,GOOD,Bièvre,Non,BIÈVRE,NAMUR,WALLONIE
3205,6600,APARTMENT,APARTMENT,240000.0,2,103.0,1,0,0,1,,0,,,,0,AS_NEW,Bastogne,Non,BASTOGNE,LUXEMBOURG,WALLONIE
3206,8434,APARTMENT,GROUND_FLOOR,192000.0,1,61.0,1,0,0,1,14.0,0,,,2.0,0,AS_NEW,Lombardsijde,Oui,MIDDELKERKE,FLANDRE-OCCIDENTALE,VLAANDEREN
3207,3270,HOUSE,HOUSE,205000.0,2,129.0,1,0,0,1,16.0,0,,80.0,2.0,0,AS_NEW,Scherpenheuvel,Oui,SCHERPENHEUVEL-ZICHEM,BRABANT FLAMAND,VLAANDEREN
3208,4260,HOUSE,HOUSE,275000.0,4,250.0,0,0,0,0,,0,,500.0,,0,,Braives,Non,BRAIVES,LIEGE,WALLONIE
3209,2850,APARTMENT,PENTHOUSE,799000.0,2,200.0,1,0,0,1,97.0,0,,,2.0,0,AS_NEW,Boom,Non,BOOM,ANVERS,VLAANDEREN
3210,3001,APARTMENT,APARTMENT,265000.0,2,98.0,1,0,0,1,,0,,,2.0,0,,Heverlee,Oui,LEUVEN,BRABANT FLAMAND,VLAANDEREN
3211,4100,APARTMENT,APARTMENT,255000.0,2,98.0,0,0,0,1,17.0,0,,,,0,,Seraing,Non,SERAING,LIEGE,WALLONIE
3212,2800,APARTMENT,APARTMENT,275000.0,1,81.0,1,0,0,1,5.0,0,,,,0,GOOD,Mechelen,Non,MECHELEN,ANVERS,VLAANDEREN
3213,8370,HOUSE,HOUSE,250000.0,4,215.0,1,0,0,1,,0,,84.0,,0,GOOD,Blankenberge,Non,BLANKENBERGE,FLANDRE-OCCIDENTALE,VLAANDEREN
3214,8300,APARTMENT,APARTMENT,1345000.0,3,105.0,0,1,0,0,,1,,,,0,JUST_RENOVATED,Knokke,Oui,KNOKKE-HEIST,FLANDRE-OCCIDENTALE,VLAANDEREN
3215,4280,APARTMENT,GROUND_FLOOR,219900.0,2,104.0,1,0,0,1,7.0,0,,,4.0,0,GOOD,Hannut,Non,HANNUT,LIEGE,WALLONIE
3216,1410,HOUSE,HOUSE,550000.0,3,141.0,1,0,0,1,20.0,0,,785.0,4.0,0,AS_NEW,Waterloo,Non,WATERLOO,BRABANT WALLON,WALLONIE
3217,8300,HOUSE,HOUSE,595000.0,3,,0,0,0,1,,1,,2621.0,,0,TO_RENOVATE,Knokke,Oui,KNOKKE-HEIST,FLANDRE-OCCIDENTALE,VLAANDEREN
3218,3350,HOUSE,FARMHOUSE,210000.0,4,,1,0,0,0,,0,,2160.0,4.0,0,TO_RENOVATE,Linter,Non,LINTER,BRABANT FLAMAND,VLAANDEREN
3219,1060,APARTMENT,APARTMENT,309000.0,1,67.0,1,0,0,0,,0,,,,0,AS_NEW,Saint-Gilles,Non,SAINT-GILLES,BRUXELLES,BRUXELLES
3220,3140,HOUSE,HOUSE,399000.0,3,122.0,1,0,0,0,,0,,276.0,3.0,0,GOOD,Keerbergen,Non,KEERBERGEN,BRABANT FLAMAND,VLAANDEREN
3221,3000,HOUSE,HOUSE,690000.0,4,264.0,1,0,0,1,30.0,1,325.0,428.0,3.0,0,AS_NEW,Leuven,Non,LEUVEN,BRABANT FLAMAND,VLAANDEREN
3222,1150,HOUSE,HOUSE,1950000.0,5,515.0,1,0,1,0,,1,,600.0,3.0,0,AS_NEW,Woluwe-Saint-Pierre,Non,WOLUWE-SAINT-PIERRE,BRUXELLES,BRUXELLES
3223,7380,HOUSE,HOUSE,110000.0,4,203.0,1,0,0,0,,0,,131.0,3.0,0,TO_RESTORE,Quiévrain,Non,QUIÉVRAIN,HAINAUT,WALLONIE
3224,1040,APARTMENT,APARTMENT,440000.0,3,145.0,1,0,0,1,10.0,0,,,2.0,0,GOOD,Etterbeek,Non,ETTERBEEK,BRUXELLES,BRUXELLES
3225,2000,APARTMENT,PENTHOUSE,1200000.0,3,155.0,0,0,0,1,60.0,0,,,2.0,0,,Antwerpen,Non,ANTWERPEN,ANVERS,VLAANDEREN
